SMA12_1;SMA12_2;PARAM12_1;PARAM12_2;PARAM12_3;PARAM12_4;SMA4_1;SMA4_2;SMA4_3;SMA4_4;Profit;Loss deals;Profit deals;Maximum loss in profit deals
6.0;18.0;0.2;0.4;300.0;;12.0;14.0;3.0;12.0;65.56300891412411;512.0;874.0;-8.39601300273108
6.0;18.0;0.2;0.6000000000000001;300.0;;12.0;14.0;3.0;12.0;81.34435282679593;533.0;1002.0;-8.39601300273108
6.0;18.0;0.2;0.8;300.0;;12.0;14.0;3.0;12.0;52.56121021977548;478.0;907.0;-15.679145534511141
6.0;18.0;0.4;0.2;300.0;;12.0;14.0;3.0;12.0;16.19734448180315;641.0;978.0;-8.086601908529232
6.0;18.0;0.4;0.4;300.0;;12.0;14.0;3.0;12.0;76.35155454530019;552.0;882.0;-8.39601300273108
6.0;18.0;0.4;0.6000000000000001;300.0;;12.0;14.0;3.0;12.0;59.44182562733752;563.0;954.0;-8.426048208568092
6.0;18.0;0.4;0.8;300.0;;12.0;14.0;3.0;12.0;-12.803800865154269;538.0;924.0;-15.679145534511141
6.0;18.0;0.6000000000000001;0.2;300.0;;12.0;14.0;3.0;12.0;8.546507681373946;629.0;1000.0;-8.086601908529232
6.0;18.0;0.6000000000000001;0.4;300.0;;12.0;14.0;3.0;12.0;12.984242137895968;566.0;881.0;-8.39601300273108
6.0;18.0;0.6000000000000001;0.6000000000000001;300.0;;12.0;14.0;3.0;12.0;73.31597292394443;500.0;830.0;-9.494885361552024
